block,texture,texture_nom,recall_mean,recall_std,n_folds
block_0,1,Tot.homogène,0.6833,0.411,9
block_0,3,Faisceaux,0.295,0.3782,10
block_0,4,Filaments,0.5938,0.4278,8
block_0,5,Strat.rect,0.5021,0.498,10
block_0,6,Strat.sin,0.4282,0.4289,14
block_0,7,Granuleux,0.5138,0.3984,21
block_0,9,Trou,0.7041,0.4241,16
block_1,1,Tot.homogène,0.8889,0.3143,9
block_1,3,Faisceaux,0.3103,0.3941,10
block_1,4,Filaments,0.7135,0.4164,8
block_1,5,Strat.rect,0.3312,0.4473,10
block_1,6,Strat.sin,0.3828,0.3556,14
block_1,7,Granuleux,0.404,0.433,21
block_1,9,Trou,0.6809,0.4188,16
block_10,1,Tot.homogène,0.9444,0.1571,9
block_10,3,Faisceaux,0.6249,0.3571,10
block_10,4,Filaments,0.835,0.3206,8
block_10,5,Strat.rect,0.1333,0.2769,10
block_10,6,Strat.sin,0.5214,0.3925,14
block_10,7,Granuleux,0.8402,0.2268,21
block_10,9,Trou,0.6238,0.4133,16
block_11,1,Tot.homogène,0.9778,0.0629,9
block_11,3,Faisceaux,0.5898,0.3589,10
block_11,4,Filaments,0.7022,0.4096,8
block_11,5,Strat.rect,0.1354,0.2822,10
block_11,6,Strat.sin,0.5159,0.397,14
block_11,7,Granuleux,0.843,0.2322,21
block_11,9,Trou,0.6377,0.4182,16
block_12,1,Tot.homogène,1.0,0.0,9
block_12,3,Faisceaux,0.5981,0.3596,10
block_12,4,Filaments,0.6813,0.4066,8
block_12,5,Strat.rect,0.1396,0.2929,10
block_12,6,Strat.sin,0.494,0.4152,14
block_12,7,Granuleux,0.8327,0.2283,21
block_12,9,Trou,0.6724,0.3891,16
block_13,1,Tot.homogène,0.8667,0.3127,9
block_13,3,Faisceaux,0.5739,0.3637,10
block_13,4,Filaments,0.5859,0.4003,8
block_13,5,Strat.rect,0.1479,0.2501,10
block_13,6,Strat.sin,0.4951,0.4422,14
block_13,7,Granuleux,0.7923,0.3045,21
block_13,9,Trou,0.6337,0.4123,16
block_14,1,Tot.homogène,0.8259,0.3303,9
block_14,3,Faisceaux,0.3791,0.3831,10
block_14,4,Filaments,0.4756,0.4156,8
block_14,5,Strat.rect,0.1438,0.2405,10
block_14,6,Strat.sin,0.3805,0.4197,14
block_14,7,Granuleux,0.7021,0.375,21
block_14,9,Trou,0.6447,0.4006,16
block_15,1,Tot.homogène,0.7704,0.4123,9
block_15,3,Faisceaux,0.4663,0.4085,10
block_15,4,Filaments,0.4131,0.4439,8
block_15,5,Strat.rect,0.0979,0.2232,10
block_15,6,Strat.sin,0.3939,0.4157,14
block_15,7,Granuleux,0.7641,0.3018,21
block_15,9,Trou,0.5619,0.4196,16
block_2,1,Tot.homogène,1.0,0.0,9
block_2,3,Faisceaux,0.2834,0.3726,10
block_2,4,Filaments,0.7057,0.4138,8
block_2,5,Strat.rect,0.2312,0.3953,10
block_2,6,Strat.sin,0.3499,0.3669,14
block_2,7,Granuleux,0.4964,0.433,21
block_2,9,Trou,0.6487,0.4277,16
block_3,1,Tot.homogène,0.9926,0.021,9
block_3,3,Faisceaux,0.1796,0.3043,10
block_3,4,Filaments,0.7135,0.3816,8
block_3,5,Strat.rect,0.1312,0.3042,10
block_3,6,Strat.sin,0.3601,0.3749,14
block_3,7,Granuleux,0.5683,0.4227,21
block_3,9,Trou,0.6975,0.3791,16
block_4,1,Tot.homogène,1.0,0.0,9
block_4,3,Faisceaux,0.2753,0.3601,10
block_4,4,Filaments,0.7116,0.4159,8
block_4,5,Strat.rect,0.05,0.15,10
block_4,6,Strat.sin,0.335,0.3936,14
