patch_id,texture,texture_nom,image_source,col,row,frac_A,frac_B,vote_précoce,vote_intermédiaire,vote_tardif,score_C_int,score_C_uni,penche_vers,consensus,metriques_declenchees,fiabilite_MAD,C_implique,A_B_seuls
1733,7,Granuleux,060722-Nabila-JP-Valves-WholeMount-SAureus-pat04-1-37.tif,384,0,1.000,0.500,1,4,1,-3.247,0.134,Trou,1,A,OK,False,False
436,5,Strat.rect,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0005.tif,896,128,1.000,0.333,1,4,1,1.272,0.575,Strat.sin,1,A,OK,False,False
456,5,Strat.rect,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0005.tif,896,384,1.000,0.333,1,4,1,-0.319,0.025,Strat.sin,1,A,OK,False,False
2216,5,Strat.rect,070525-JPB-MEB-EIHNValves-Ech4-ZigZag0103.tif,768,0,1.000,0.333,1,4,1,-1.279,-1.471,Strat.sin,1,A,OK,False,False
2228,5,Strat.rect,070525-JPB-MEB-EIHNValves-Ech4-ZigZag0103.tif,1024,128,1.000,0.333,1,4,1,-1.146,-1.531,Strat.sin,1,A,OK,False,False
2555,5,Strat.rect,070525-JPB-MEB-EIHNValves-Ech5-ZigZag0051.tif,1152,512,1.000,0.333,1,4,1,-0.247,1.465,Strat.sin,1,A,OK,False,False
3047,1,Tot.homogène,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0077.tif,384,640,1.000,0.333,1,4,1,0.867,1.371,Granuleux,1,A,MAD_PEU_FIABLE,False,False
646,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech2-ZigZag0042.tif,0,640,0.500,0.667,0,4,0,-0.422,0.156,Trou,1,B,OK,False,False
2245,5,Strat.rect,070525-JPB-MEB-EIHNValves-Ech4-ZigZag0103.tif,640,384,0.833,0.333,1,4,1,-0.337,-1.628,Strat.sin,1,A,OK,False,False
2525,5,Strat.rect,070525-JPB-MEB-EIHNValves-Ech5-ZigZag0051.tif,1152,128,0.833,0.333,0,4,1,0.014,-0.284,Strat.sin,1,A,OK,False,False
2738,5,Strat.rect,070525-JPB-MEB-EIHNValves-Ech5-ZigZag0078.tif,0,640,0.833,0.333,0,4,1,-0.576,1.194,Strat.sin,1,A,OK,False,False
