bloc,metrique,R2,R2_std,RMSE,RMSE_std,MedAE,MedAE_std
block_4,D50,0.748,0.076,1.007,0.132,0.626,0.067
block_4,D90,0.326,0.113,1.217,0.109,0.8,0.102
block_4,Span,0.758,0.07,0.319,0.029,0.213,0.046
block_4,Skewness,0.676,0.063,0.152,0.002,0.1,0.008
block_4,sigma_local,0.759,0.13,2.622,0.339,1.572,0.137
block_6,D50,0.74,0.092,1.022,0.16,0.62,0.085
block_6,D90,0.318,0.105,1.227,0.127,0.778,0.102
block_6,Span,0.734,0.079,0.334,0.024,0.218,0.033
block_6,Skewness,0.654,0.084,0.156,0.004,0.101,0.007
block_6,sigma_local,0.781,0.105,2.537,0.372,1.556,0.178
block_9,D50,0.667,0.098,1.164,0.172,0.73,0.115
block_9,D90,0.258,0.099,1.282,0.142,0.833,0.105
block_9,Span,0.671,0.061,0.377,0.029,0.247,0.021
block_9,Skewness,0.57,0.109,0.174,0.017,0.114,0.018
block_9,sigma_local,0.733,0.079,2.925,0.791,1.797,0.442
