patch_uid,disp,texture,image,y_true,y_pred_oof,residual,abs_residual
25,7.823713781141543,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,6.604131330264115,7.57302392148505,-0.9688925912209349,0.9688925912209349
28,7.550776042796423,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,8.135810517166451,7.350751179577203,0.7850593375892485,0.7850593375892485
29,7.863295678646612,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,11.27526744371707,9.460960710772504,1.8143067329445657,1.8143067329445657
34,8.312237705829299,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,7.107436165447213,7.937165192060406,-0.8297290266131929,0.8297290266131929
35,6.9845452461118045,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,6.285404283422965,6.730418934263318,-0.4450146508403527,0.4450146508403527
36,7.796438397588458,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,4.769446999897783,5.582721001629967,-0.813274001732184,0.813274001732184
42,7.535190508678317,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,6.960132890365449,6.35654530424898,0.6035875861164692,0.6035875861164692
43,8.312490191195824,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,9.931421269345448,8.552166250716265,1.3792550186291823,1.3792550186291823
44,8.015919699776866,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,10.14468659774611,8.743704382557082,1.4009822151890283,1.4009822151890283
50,7.220263174077434,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,5.110945696866583,5.024697410437804,0.0862482864287788,0.0862482864287788
51,7.100329959967744,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,6.974423891701975,7.073766979521374,-0.099343087819399,0.099343087819399
52,8.20462013868376,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,9.027385054057266,8.783579118420606,0.2438059356366597,0.2438059356366597
53,7.773767960445839,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,8.719319022945967,7.86242256782675,0.8568964551192177,0.8568964551192177
55,7.5588645733602755,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,7.027782805429865,7.388787616439435,-0.36100481100957,0.36100481100957
61,8.508470263590898,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,7.078056642873594,6.776402969348605,0.3016536735249886,0.3016536735249886
62,7.31895657731417,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,4.244996859014629,4.8594696482279645,-0.6144727892133357,0.6144727892133357
63,7.382985850805757,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,4.889013327360287,4.33196003549033,0.5570532918699564,0.5570532918699564
71,7.90650402888744,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,5.688731144631764,6.571746780511901,-0.8830156358801373,0.8830156358801373
72,8.153522863163381,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,6.594350803265736,7.285081790059258,-0.6907309867935219,0.6907309867935219
83,8.034266322845898,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,6.943088552915767,6.960005771266003,-0.0169172183502359,0.0169172183502359
84,7.734102236557936,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,5.42259471245571,6.5541910323203325,-1.1315963198646228,1.1315963198646228
85,8.895465776008725,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,4.011577736228967,7.168664306194941,-3.1570865699659745,3.1570865699659745
94,6.559708882155576,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,4.476416786226686,5.0280365517443,-0.5516197655176143,0.5516197655176143
