patch_uid,id,texture,image,x_min,y_min,x_max,y_max,D50,D10,D90,Span,Skewness,sigma_local
25,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,640,256,768,384,6.604131330264115,1.0,21.290596387032917,3.072409583081602,0.5561739123274576,7.596356493774405
28,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,1024,256,1152,384,8.135810517166451,1.0,19.23413734392737,2.241219520225254,0.4332993568587466,8.174927863105706
29,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,1152,256,1280,384,11.27526744371707,1.0,22.418524681087074,1.8996023631370398,0.07970181816016936,12.79277646553608
34,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,512,384,640,512,7.107436165447213,1.0,21.199760059062378,2.8420600043182196,0.566194693356424,12.302181440252772
35,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,640,384,768,512,6.285404283422965,1.0,20.56166832174776,3.1122370876507377,0.6546051650227767,5.832650133269882
36,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,768,384,896,512,4.769446999897783,1.0,19.342758003134097,3.8458877944397356,0.8229967165581548,6.100802556187672
42,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,256,512,384,640,6.960132890365449,1.0,19.903799654576872,2.7160113107530495,0.6586286188606446,9.253568503640054
43,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,384,512,512,640,9.931421269345448,1.0,21.300823970037452,2.0441005793096747,0.19216720855758102,15.972228253587733
44,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,512,512,640,640,10.14468659774611,1.0,19.760516959738634,1.8492948775674096,0.16275832169945775,9.487379625685126
50,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,0,640,128,768,5.110945696866583,1.0,20.230356065178025,3.762582740209462,0.8191245524760961,9.361441815499909
51,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,128,640,256,768,6.974423891701975,1.0,19.3920055922725,2.6370644913273664,0.5594112769827526,9.819580032410471
52,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,256,640,384,768,9.027385054057266,1.0,21.070511405445178,2.2232918265101245,0.32472941662619215,14.841113014394638
53,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,384,640,512,768,8.719319022945967,1.0,20.902872340425535,2.282617746643822,0.342568590569263,11.69261819906335
55,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,640,640,768,768,7.027782805429865,1.0,20.227833154424165,2.7359743018193723,0.5199323223772274,7.850008689327351
61,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,256,0,384,128,7.078056642873594,1.0,21.377968905061202,2.87903444875344,0.5624844176384874,8.98695976476676
62,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,384,0,512,128,4.244996859014629,1.0,17.573747016706456,3.9043013616159996,1.0764084778683964,9.23232398819523
63,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,512,0,640,128,4.889013327360287,1.0,21.052125919869177,4.101466814919867,0.823618337187856,7.2364564202141715
71,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,256,128,384,256,5.688731144631764,1.0,20.765986394557824,3.474586140920058,0.7213073831657649,12.555606111575372
72,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,384,128,512,256,6.594350803265736,1.0,21.888523786169696,3.1676391519579186,0.6415023837201567,14.401071258808265
83,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,512,256,640,384,6.943088552915767,1.0,21.30597348428423,2.9246312112434008,0.5637747013824613,12.399308349989163
84,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,640,256,768,384,5.42259471245571,1.0,18.729478729778307,3.26955630466973,0.8362845816858907,12.156140958099602
85,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,768,256,896,384,4.011577736228967,1.0,17.95567581172918,4.226685091653777,0.9870247342726308,17.379954794104332
94,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,640,384,768,512,4.476416786226686,1.0,19.063370786516867,4.035229883440558,0.9773187496658653,8.432285278892023
95,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,768,384,896,512,6.1340465249856395,1.0,19.092363080951337,2.9494988352723155,0.5968852884996801,10.940877248436552
96,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,896,384,1024,512,4.466123778501628,1.0,21.177726574500767,4.5179505932256845,0.8329430077439879,10.682598968547515
97,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,1024,384,1152,512,7.229939179909751,1.0,21.007745637102563,2.767346327435124,0.4214585498247154,10.04713034935671
98,8,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,1152,384,1280,512,5.9883958173935214,1.0,21.034256198347112,3.34551302373114,0.6577250181181329,13.124314871004072
184,7,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20033.tif,512,0,640,128,7.166243654822336,1.0,21.063889882016454,2.7997777983051115,0.6728730328108136,14.511184958656104
