block,metric,dim,importance_impurete,dans_top10_ridge
block_4,D50,196,0.12950909050295448,False
block_4,D50,233,0.10399295369888317,True
block_4,D50,309,0.047437158539237925,False
block_4,D50,253,0.04230933193844567,False
block_4,D50,162,0.024198047733068204,False
block_4,D50,345,0.022695937394931816,False
block_4,D50,40,0.01949570791594931,True
block_4,D50,105,0.01771036193720145,False
block_4,D50,41,0.016443337350574752,False
block_4,D50,355,0.015136219887832371,False
block_4,D50,339,0.014642079353336532,False
block_4,D50,173,0.013934320593188753,False
block_4,D90,233,0.062551881542113,True
block_4,D90,309,0.03811407264971613,False
block_4,D90,173,0.02288867016051869,False
block_4,D90,284,0.019222177187967773,True
block_4,D90,207,0.015066169395860042,False
block_4,D90,76,0.015010788703790984,False
block_4,D90,105,0.014065328505693392,False
block_4,D90,40,0.013499832464118875,True
block_4,D90,85,0.01220309421097997,False
block_4,D90,196,0.011696683204496468,False
block_4,D90,345,0.010584744728331912,False
block_4,D90,53,0.009546219670155108,False
block_4,Span,196,0.1392690464525382,False
block_4,Span,233,0.09403204104690788,True
block_4,Span,309,0.04020076088322559,False
block_4,Span,253,0.03305941908716829,False
block_4,Span,345,0.02913806049841687,False
block_4,Span,162,0.02152512495940103,False
block_4,Span,41,0.0214378541573651,False
block_4,Span,40,0.01751808756782893,False
block_4,Span,105,0.01648691156589141,False
block_4,Span,277,0.015946312764764152,False
block_4,Span,301,0.01332055080116289,False
block_4,Span,223,0.011988503288767736,False
block_4,Skewness,233,0.10219145864284593,True
block_4,Skewness,196,0.09689908095477222,False
block_4,Skewness,309,0.05436000161788725,False
block_4,Skewness,253,0.025147809968582412,False
block_4,Skewness,345,0.023323848817801675,False
block_4,Skewness,40,0.017276307620378822,True
block_4,Skewness,162,0.016793863952202732,False
block_4,Skewness,173,0.015786900770755535,False
block_4,Skewness,105,0.015599204084931567,False
block_4,Skewness,339,0.015002307802868067,True
block_4,Skewness,255,0.01363024545006818,False
block_4,Skewness,355,0.012789535927214157,False
block_4,sigma_local,196,0.08854162136992588,False
block_4,sigma_local,253,0.06451943756479385,False
block_4,sigma_local,309,0.03526680078797782,False
block_4,sigma_local,277,0.03336561677060021,False
block_4,sigma_local,162,0.02606251560821952,False
block_4,sigma_local,233,0.02164635697858431,False
block_4,sigma_local,40,0.01814435294655567,False
block_4,sigma_local,41,0.018125521342456607,False
block_4,sigma_local,173,0.015960676335699826,False
block_4,sigma_local,301,0.015826285972411636,False
block_4,sigma_local,283,0.014804983727961483,False
block_4,sigma_local,105,0.012155182052697559,False
block_6,D50,227,0.15522487361845586,False
block_6,D50,325,0.082038393808064,False
block_6,D50,233,0.04930236825050294,True
block_6,D50,359,0.047037139321444224,False
block_6,D50,313,0.026535725726662206,False
block_6,D50,4,0.014121854276288759,False
block_6,D50,151,0.014048088011640715,False
block_6,D50,121,0.01337680722094353,False
block_6,D50,85,0.012805624548466949,False
