block,dim,n_metriques,metriques
block_4,40,5,"D50,D90,Skewness,Span,sigma_local"
block_4,105,5,"D50,D90,Skewness,Span,sigma_local"
block_4,233,5,"D50,D90,Skewness,Span,sigma_local"
block_4,309,5,"D50,D90,Skewness,Span,sigma_local"
block_4,196,5,"D50,D90,Skewness,Span,sigma_local"
block_4,173,4,"D50,D90,Skewness,sigma_local"
block_4,253,4,"D50,Skewness,Span,sigma_local"
block_4,162,4,"D50,Skewness,Span,sigma_local"
block_4,345,4,"D50,D90,Skewness,Span"
block_4,41,3,"D50,Span,sigma_local"
block_4,339,2,"D50,Skewness"
block_4,355,2,"D50,Skewness"
block_4,301,2,"Span,sigma_local"
block_4,277,2,"Span,sigma_local"
block_6,233,5,"D50,D90,Skewness,Span,sigma_local"
block_6,325,5,"D50,D90,Skewness,Span,sigma_local"
block_6,359,5,"D50,D90,Skewness,Span,sigma_local"
block_6,227,5,"D50,D90,Skewness,Span,sigma_local"
block_6,313,4,"D50,Skewness,Span,sigma_local"
block_6,121,4,"D50,D90,Skewness,Span"
block_6,4,4,"D50,Skewness,Span,sigma_local"
block_6,266,4,"D50,Skewness,Span,sigma_local"
block_6,85,3,"D50,Skewness,Span"
block_6,151,3,"D50,Skewness,Span"
block_6,35,2,"D90,Skewness"
block_6,301,2,"D50,Span"
block_6,281,2,"D50,Skewness"
block_9,85,5,"D50,D90,Skewness,Span,sigma_local"
block_9,145,5,"D50,D90,Skewness,Span,sigma_local"
block_9,227,5,"D50,D90,Skewness,Span,sigma_local"
block_9,289,4,"D50,D90,Skewness,Span"
block_9,104,4,"D50,D90,Skewness,Span"
block_9,348,4,"D50,D90,Skewness,Span"
block_9,299,3,"D50,Skewness,Span"
block_9,157,3,"D90,Skewness,sigma_local"
block_9,13,3,"D50,Skewness,Span"
block_9,367,3,"D50,Skewness,Span"
block_9,233,3,"D50,D90,Skewness"
block_9,325,2,"D50,sigma_local"
block_9,68,2,"D50,Span"
block_9,344,2,"D90,sigma_local"
block_9,321,2,"Skewness,Span"
