block,metric,rf_variant,top_dims_impurity,top_dims_permutation,top_dims_ridge_w,overlap_impurity_vs_ridge,overlap_permutation_vs_ridge
block_4,D50,sqrt,"233,196,309,253,162,40,345,355,105,339","233,196,309,339,253,355,40,105,162,345","101,62,315,233,40,245,328,135,35,212",2,2
block_4,D50,third,"196,233,309,253,162,345,41,40,105,339","233,196,309,284,253,339,345,105,111,41","101,62,315,233,40,245,328,135,35,212",2,1
block_4,D90,sqrt,"233,309,284,173,207,40,105,76,345,196","233,309,284,76,173,105,53,255,355,111","273,284,135,40,149,299,62,54,339,233",3,2
block_4,D90,third,"233,309,173,284,76,207,105,85,40,196","233,309,284,76,105,173,53,227,111,207","273,284,135,40,149,299,62,54,339,233",3,2
block_4,Span,sqrt,"196,233,309,253,345,162,40,105,41,301","233,196,345,309,253,339,40,105,162,41","315,62,177,101,233,111,270,55,255,311",1,1
block_4,Span,third,"196,233,309,253,345,41,162,277,40,105","196,233,309,345,284,339,253,41,227,219","315,62,177,101,233,111,270,55,255,311",1,1
block_4,Skewness,sqrt,"233,309,196,253,345,40,162,105,355,173","233,196,309,284,339,105,345,162,40,355","315,135,101,62,270,233,40,53,302,339",2,3
block_4,Skewness,third,"233,196,309,253,345,40,173,162,339,111","233,196,309,284,111,339,173,53,105,41","315,135,101,62,270,233,40,53,302,339",3,3
block_4,sigma_local,sqrt,"253,196,309,277,162,40,233,301,41,105","277,351,233,20,238,283,40,115,313,94","75,6,332,315,291,48,262,100,268,76",0,0
block_4,sigma_local,third,"196,253,309,277,162,233,283,41,173,40","196,277,283,20,313,284,351,238,173,76","75,6,332,315,291,48,262,100,268,76",0,1
block_6,D50,sqrt,"227,325,359,233,313,4,121,301,266,281","227,325,233,359,313,121,4,151,281,35","233,106,276,315,269,107,341,246,322,338",1,1
block_6,D50,third,"227,325,233,359,313,151,85,4,281,121","227,325,233,313,359,151,121,207,4,373","233,106,276,315,269,107,341,246,322,338",1,1
block_6,D90,sqrt,"227,233,121,325,359,40,284,238,137,35","227,233,121,325,381,284,161,40,8,238","186,254,266,132,63,11,233,269,40,62",2,2
block_6,D90,third,"227,121,233,325,40,284,359,141,207,20","227,233,325,121,40,20,161,284,381,99","186,254,266,132,63,11,233,269,40,62",2,2
block_6,Span,sqrt,"227,325,359,233,313,301,4,151,29,121","227,325,233,359,313,151,4,121,301,29","106,233,276,341,322,174,332,88,81,315",1,1
block_6,Span,third,"227,325,359,233,313,301,151,85,207,203","227,325,233,359,313,151,276,207,4,373","106,233,276,341,322,174,332,88,81,315",1,2
block_6,Skewness,sqrt,"227,325,233,359,121,313,35,281,266,151","227,233,325,359,121,35,313,281,151,266","233,269,106,315,107,338,186,276,40,168",1,1
block_6,Skewness,third,"227,325,233,359,121,313,35,151,85,141","227,325,233,359,121,313,151,141,20,132","233,269,106,315,107,338,186,276,40,168",1,1
block_6,sigma_local,sqrt,"227,313,325,359,4,266,277,238,233,173","227,238,173,266,313,377,233,344,359,203","117,382,152,230,214,191,219,81,53,227",1,1
block_6,sigma_local,third,"227,313,359,325,173,266,277,4,76,95","227,173,313,266,262,344,283,132,238,351","117,382,152,230,214,191,219,81,53,227",1,1
block_9,D50,sqrt,"85,145,227,348,299,13,104,367,289,233","85,227,145,233,299,289,104,348,325,13","138,233,299,276,325,210,246,338,341,345",2,3
block_9,D50,third,"85,145,227,13,299,289,367,104,348,233","85,145,227,289,233,299,348,367,13,68","138,233,299,276,325,210,246,338,341,345",2,2
block_9,D90,sqrt,"85,289,233,145,157,104,348,227,344,207","289,85,233,227,112,157,50,145,344,359","233,54,181,259,210,0,351,299,359,284",1,2
block_9,D90,third,"85,289,233,157,145,344,104,227,207,112","85,289,233,157,112,145,227,0,54,104","233,54,181,259,210,0,351,299,359,284",1,3
block_9,Span,sqrt,"85,145,13,227,301,348,299,367,104,289","85,145,227,13,299,367,301,68,233,348","138,299,246,233,319,341,8,339,276,274",1,2
block_9,Span,third,"85,145,13,227,299,301,367,104,289,348","85,13,227,145,299,367,289,348,301,321","138,299,246,233,319,341,8,339,276,274",1,1
block_9,Skewness,sqrt,"85,145,227,289,104,348,299,13,233,157","85,145,227,289,233,104,299,157,348,325","299,233,338,138,274,325,246,341,59,210",2,3
block_9,Skewness,third,"85,145,289,227,104,299,233,13,348,157","85,145,289,227,233,299,104,157,348,13","299,233,338,138,274,325,246,341,59,210",2,2
block_9,sigma_local,sqrt,"227,85,145,225,325,242,373,339,200,344","227,85,225,12,325,373,200,242,145,245","214,371,227,245,79,48,150,270,353,343",1,2
block_9,sigma_local,third,"227,85,225,242,325,373,145,344,339,12","227,85,12,344,225,325,373,157,140,245","214,371,227,245,79,48,150,270,353,343",1,2
