block,metric,fold,model,r2,rmse,medae,n_estimators_used
block_4,D50,0,Ridge,0.6345617430430739,1.2125687673015617,0.6708869348000484,
block_4,D50,0,SVR_RBF,0.5796131972427142,1.3005405842476876,0.7187417331757002,
block_4,D50,0,RF_sqrt,0.39373819756339046,1.5618145898129803,0.8959274576505241,
block_4,D50,0,RF_third,0.4451469757034795,1.49412988048754,0.8325156622684151,
block_4,D50,0,GBM,0.5442278981395869,1.3541701656513279,0.7828072089261697,161.0
block_4,D50,0,GBM_train,0.9543845182803343,0.44569332865807443,0.1615499305401613,161.0
block_4,D90,0,Ridge,0.2162007711124283,1.1030923434498674,0.7930967005113541,
block_4,D90,0,SVR_RBF,-0.06853148477369997,1.2879621960792262,0.7967997187733591,
block_4,D90,0,RF_sqrt,0.08078618015708738,1.1945868418752374,0.8926688884043443,
block_4,D90,0,RF_third,0.11469555543665733,1.1723459204320084,0.8333348747930369,
block_4,D90,0,GBM,0.11645543083018939,1.1711801016512675,0.8504508881235768,59.0
block_4,D90,0,GBM_train,0.763137705953697,0.7683276447388483,0.5109093757607699,59.0
block_4,Span,0,Ridge,0.7043811497122405,0.291513391419018,0.1830608342609299,
block_4,Span,0,SVR_RBF,0.7001629043143673,0.29358585638594176,0.2198036968715973,
block_4,Span,0,RF_sqrt,0.5490095701926263,0.3600610231308813,0.2780207248146336,
block_4,Span,0,RF_third,0.6076666506860529,0.3358304420298126,0.25430998254496784,
block_4,Span,0,GBM,0.6881812457119028,0.2993943251549452,0.21111159528871526,136.0
block_4,Span,0,GBM_train,0.9442970144081786,0.1686749875498677,0.06753171538698077,136.0
block_4,Skewness,0,Ridge,0.5787692670154156,0.15010838787968683,0.09386868252268743,
block_4,Skewness,0,SVR_RBF,0.4665017294461754,0.1689318133307848,0.12105282999626524,
block_4,Skewness,0,RF_sqrt,0.3079749299732498,0.1924003465131729,0.12390153953292855,
block_4,Skewness,0,RF_third,0.3499200273598214,0.18647831197592654,0.12185273092392115,
block_4,Skewness,0,GBM,0.40427788759579786,0.17851174539049608,0.10478208086836269,94.0
block_4,Skewness,0,GBM_train,0.9099552786113014,0.08536441322139343,0.045907454823031046,94.0
block_4,sigma_local,0,Ridge,0.8114495008596867,3.162446147107804,1.4731967044461207,
block_4,sigma_local,0,SVR_RBF,0.6051812518388203,4.576233532314378,2.461594712469809,
block_4,sigma_local,0,RF_sqrt,0.29421042137552345,6.1185274984407,3.499113928377488,
block_4,sigma_local,0,RF_third,0.34753356922866485,5.88285821761225,3.2889631335463365,
block_4,sigma_local,0,GBM,0.4175417271666614,5.558296430792398,3.1174907817133697,93.0
block_4,sigma_local,0,GBM_train,0.9439863706971384,1.4069159806166178,0.7730425740516997,93.0
block_4,D50,1,Ridge,0.8478953353982177,0.8580988406666965,0.5709123732327326,
block_4,D50,1,SVR_RBF,0.793354221671317,1.0001826518976997,0.5811734435951754,
block_4,D50,1,RF_sqrt,0.6922852384533925,1.2205068299863615,0.8599272810835465,
block_4,D50,1,RF_third,0.7246809005418398,1.1544741659193396,0.7770497967306556,
block_4,D50,1,GBM,0.7413886583552682,1.1188962865780476,0.7960044991259299,100.0
block_4,D50,1,GBM_train,0.9236376719081291,0.6073855092441595,0.2654858275448846,100.0
block_4,D90,1,Ridge,0.2528519105452568,1.384940045231268,0.9364628587898025,
block_4,D90,1,SVR_RBF,0.03214814295690982,1.5762753051423777,0.9053019826474848,
block_4,D90,1,RF_sqrt,0.1698846020062389,1.4598117761306162,0.9247927949755343,
block_4,D90,1,RF_third,0.17529737463730732,1.4550446364839655,0.9061651121032188,
block_4,D90,1,GBM,0.13403740523870933,1.4909984583037625,0.948330449926825,56.0
block_4,D90,1,GBM_train,0.7529720233089484,0.7583993279595217,0.46291181174102114,56.0
block_4,Span,1,Ridge,0.86334597164308,0.2936900908378798,0.19114483377772862,
block_4,Span,1,SVR_RBF,0.8264584077409831,0.3309633190522328,0.24789229532538992,
block_4,Span,1,RF_sqrt,0.706118028500498,0.4306897604361137,0.29396672232708465,
block_4,Span,1,RF_third,0.7420598180867345,0.4034944590555341,0.25819642367476536,
block_4,Span,1,GBM,0.7986881501082617,0.35646159344723566,0.23303252492331605,138.0
block_4,Span,1,GBM_train,0.9375949226508605,0.17502636835289961,0.06414717249311552,138.0
block_4,Skewness,1,Ridge,0.7353325941934515,0.15431455688513568,0.10301483921199084,
block_4,Skewness,1,SVR_RBF,0.6537919587389094,0.1764920880683569,0.10696008173139043,
block_4,Skewness,1,RF_sqrt,0.5666627340778869,0.19745570460201592,0.12598168265443582,
block_4,Skewness,1,RF_third,0.5939221240995392,0.19114429052284765,0.13000744915483917,
block_4,Skewness,1,GBM,0.6159521455799819,0.18588713650800792,0.11591425992121093,86.0
block_4,Skewness,1,GBM_train,0.8990709110302352,0.09109318195318855,0.048842815236668856,86.0
block_4,sigma_local,1,Ridge,0.689520385237877,2.650343494201261,1.7452518464193467,
block_4,sigma_local,1,SVR_RBF,0.5356370715984196,3.2412638755787433,1.6450713201064797,
block_4,sigma_local,1,RF_sqrt,0.3149449307430984,3.9368454009983287,2.4134949983669953,
block_4,sigma_local,1,RF_third,0.22091011665766558,4.198357343140263,2.7393805467833934,
block_4,sigma_local,1,GBM,0.23943215691843378,4.148151390935906,2.283493240529534,151.0
block_4,sigma_local,1,GBM_train,0.9549672779805963,1.5024971223917392,0.47847431473516,151.0
block_4,D50,2,Ridge,0.7505912789326481,0.9447637300357876,0.6082070091425784,
block_4,D50,2,SVR_RBF,0.7532535014742094,0.9397079341319166,0.6208122805181979,
block_4,D50,2,RF_sqrt,0.6253497785151131,1.1579248951977426,0.8497043182851023,
block_4,D50,2,RF_third,0.6670003295339777,1.0916647731574705,0.7563737477154326,
block_4,D50,2,GBM,0.643251418578096,1.129922149032406,0.847112203124837,85.0
block_4,D50,2,GBM_train,0.9329273703269402,0.577913289097571,0.3143342341089639,85.0
block_4,D90,2,Ridge,0.45578779623730004,1.2479353829480686,0.7516536482099028,
block_4,D90,2,SVR_RBF,0.2951141800205048,1.4202583371155888,0.8941928758840376,
block_4,D90,2,RF_sqrt,0.32716698637493913,1.3875914227408441,0.8822675003763436,
block_4,D90,2,RF_third,0.35706709268605585,1.3564093904215095,0.8221497424250437,
block_4,D90,2,GBM,0.3437389341902398,1.3703966239550158,0.8670626399892747,37.0
block_4,D90,2,GBM_train,0.6434119726068777,0.898996538072264,0.6373026201728891,37.0
block_4,Span,2,Ridge,0.7501289617650373,0.3471645912867588,0.28097353793140867,
block_4,Span,2,SVR_RBF,0.681149785356191,0.39216679552583256,0.27762341660072654,
block_4,Span,2,RF_sqrt,0.5919124038222693,0.4436639688802475,0.3618231381081394,
block_4,Span,2,RF_third,0.6182049522876849,0.429133687075253,0.28075147415847646,
block_4,Span,2,GBM,0.5984988216516244,0.4400690996471337,0.3047409566175969,102.0
block_4,Span,2,GBM_train,0.9514603363712838,0.1570155264955318,0.08195781078807096,102.0
block_4,Skewness,2,Ridge,0.715090836015571,0.15112436108166674,0.11301625541799054,
block_4,Skewness,2,SVR_RBF,0.6564347982441108,0.1659532849259681,0.12349077187110313,
block_4,Skewness,2,RF_sqrt,0.5515640207906485,0.18959701412529398,0.13568678419888242,
block_4,Skewness,2,RF_third,0.5999675589847562,0.17907249091801966,0.13112621235475602,
block_4,Skewness,2,GBM,0.6145064785078136,0.17578823696908427,0.1268328934020267,86.0
block_4,Skewness,2,GBM_train,0.9025658947227415,0.08944172491089289,0.04968771635961455,86.0
block_4,sigma_local,2,Ridge,0.5650862339401299,2.2782941752685466,1.6768955763323294,
block_4,sigma_local,2,SVR_RBF,0.2539421622128739,2.983970128788225,2.0090634960276397,
block_4,sigma_local,2,RF_sqrt,0.06384026603390203,3.342590706311494,2.3421708443378186,
block_4,sigma_local,2,RF_third,0.013486443543066162,3.431308384432957,2.3307077282252706,
block_4,sigma_local,2,GBM,-0.13255435845802044,3.6765269221056185,2.406059988393812,177.0
block_4,sigma_local,2,GBM_train,0.9570058360104587,1.442833230170747,0.4191106336463424,177.0
block_4,D50,3,Ridge,0.7576365796605675,1.0337553701630129,0.7196069198327804,
block_4,D50,3,SVR_RBF,0.6641412105048172,1.2169216046001374,0.9146053352182317,
block_4,D50,3,RF_sqrt,0.6181040482950402,1.2976476051154555,0.8716357033965565,
block_4,D50,3,RF_third,0.6527808955095337,1.2373314408066363,0.8707969802352338,
block_4,D50,3,GBM,0.6642038526106426,1.2168081133217294,0.887834513471756,134.0
block_4,D50,3,GBM_train,0.9600103458231961,0.4447369102498315,0.20599305453674255,134.0
block_4,D90,3,Ridge,0.26488411148101354,1.1469586381316903,0.6655998818702642,
block_4,D90,3,SVR_RBF,0.04234514549330015,1.3091046305845127,0.7464772942484785,
block_4,D90,3,RF_sqrt,0.23888940257957636,1.1670614834488333,0.7091012000644206,
block_4,D90,3,RF_third,0.23999057074897134,1.166216930681285,0.7123131894364665,
block_4,D90,3,GBM,0.24103783712052274,1.1654131506507992,0.7433343568015136,41.0
block_4,D90,3,GBM_train,0.7155702005130176,0.8494381810705386,0.6127416550639087,41.0
block_4,Span,3,Ridge,0.7839310321087407,0.3105062257663593,0.1701285600539162,
block_4,Span,3,SVR_RBF,0.711104681846607,0.35904126511022816,0.19531107641447187,
block_4,Span,3,RF_sqrt,0.6403148453381711,0.40062253104454826,0.22236217719924722,
block_4,Span,3,RF_third,0.6683814103439144,0.3846746325725412,0.2232389959785377,
block_4,Span,3,GBM,0.646996348915106,0.39688411076495006,0.23237532845148923,124.0
block_4,Span,3,GBM_train,0.9529505118711536,0.15901739146699764,0.06928221770345777,124.0
block_4,Skewness,3,Ridge,0.6507992609927951,0.15400397973675292,0.09259996280909888,
block_4,Skewness,3,SVR_RBF,0.5629940644672724,0.17228125815587483,0.10832900765668593,
block_4,Skewness,3,RF_sqrt,0.5247288093683735,0.17966567428811608,0.11560168797953868,
block_4,Skewness,3,RF_third,0.5470854028631452,0.1753890702320531,0.11309099611479499,
