block,metric,R2_Ridge,R2_Ridge_std,R2_SVR_RBF,R2_SVR_RBF_std,R2_RF_sqrt,R2_RF_sqrt_std,R2_RF_third,R2_RF_third_std,R2_GBM,R2_GBM_std,R2_MLP_best,ecart_meilleur_nonlineaire_vs_ridge
block_4,D50,0.7481240630774781,0.07574721661708451,0.6896383404145275,0.0845152446387256,0.5754253726550684,0.1137451834186103,0.6120481558595625,0.1083240061351123,0.638665014961561,0.07351742511254576,0.71142681080763,-0.0366972522698481
block_4,D90,0.32641970526195524,0.11349950437305535,0.09534702745873658,0.14143586719172577,0.22681655221565428,0.10365736494073559,0.25061576074683556,0.1105802601353679,0.231506894490006,0.10447609708892967,0.2587503576090529,-0.06766934765290233
block_4,Span,0.7583376418392631,0.06954138607608115,0.7007241453535178,0.08624312315971773,0.6058259818464137,0.06850581914416314,0.6320860414973435,0.08040181797351027,0.6463653658722684,0.11047955041590582,0.6883994905782136,-0.05761349648574532
block_4,Skewness,0.675639759178711,0.06250967455059603,0.5717292134514161,0.08343694943232054,0.489336491956107,0.10492545408991279,0.5242839920244429,0.10190573649832191,0.5462910657897386,0.08629706444126384,0.6012442161133766,-0.07439554306533436
block_4,sigma_local,0.7585970056430531,0.12996814813541804,0.5792302326117662,0.2072896914823093,0.3509758543431263,0.21148588099705995,0.33929367759462664,0.24328914951711603,0.3388006943070326,0.30801504309102273,0.7098656067158184,-0.04873139892723466
block_6,D50,0.739561674766211,0.0917807090576347,0.6848562591380817,0.08516102398830494,0.5542423255263593,0.12707711888381412,0.6039463922262307,0.113033540421489,0.634090834556552,0.12642468993384698,0.6977478217799852,-0.04181385298622586
block_6,D90,0.3175253462966298,0.10530566680837887,0.12250529457447912,0.13487071410550885,0.23173160547260988,0.10614137254236912,0.2498936165680695,0.10164788016878211,0.2199668987597625,0.10139765917130475,0.2447191981936345,-0.06763172972856032
block_6,Span,0.7336818757525352,0.0787639354708172,0.6848607096128236,0.08786342878412218,0.5737606246575028,0.067913682105469,0.6128132947576204,0.07645557431251637,0.6257786679072316,0.11422652260468241,0.6965047111169815,-0.03717716463555365
block_6,Skewness,0.654412339057424,0.08405922242740722,0.5800763802532234,0.07100347276663575,0.4744142977566314,0.10845488812604205,0.5165870125757807,0.09138004058645106,0.5400591725228181,0.08038122317359227,0.6143166051948237,-0.04009573386260035
block_6,sigma_local,0.7814322341539103,0.10514186010411126,0.6436285854347957,0.15187193061448157,0.3882826622200326,0.21775490024115035,0.3657409327985776,0.33265193519562913,0.3962307771274232,0.3741749695270748,0.7389552553898004,-0.04247697876410983
block_9,D50,0.6668509993398383,0.09824652609131919,0.6253180022665089,0.08778572245946802,0.5156643322803197,0.11301865627541881,0.5112503871636658,0.12401845938469372,0.5514262025036395,0.12762855349491076,0.6110083695220045,-0.04153299707332936
block_9,D90,0.2581182948003513,0.09929273910482102,0.1350151459678235,0.12348835812914447,0.2165784819823549,0.1099328930693461,0.23326466581706606,0.10590502096404658,0.17357446720923753,0.11866286921116427,0.2075688007693483,-0.024853628983285248
block_9,Span,0.6713986058408888,0.06137140117401021,0.6496304246570042,0.04253397636370702,0.5387521504996533,0.05962104424380568,0.5347918253037123,0.07239903886661896,0.5590468938269082,0.07805193448340672,0.6005333648237061,-0.021768181183884683
block_9,Skewness,0.5695756740294575,0.10875082396164848,0.5382672473885299,0.08031439461838065,0.457754547501734,0.10639751231291206,0.4662292160562399,0.11076430422874611,0.47363308938558274,0.09069980338868178,0.4823455923246144,-0.03130842664092759
block_9,sigma_local,0.7334870067173879,0.0793143279575844,0.6552352144465218,0.07908154973895484,0.4365961886239219,0.1607729770645833,0.48298663986158025,0.14372068503980723,0.5496421770233034,0.14913608045677423,0.6886528687373825,-0.04483413798000535
