block,metric,patch_uid,image,texture,fold,y_true,y_pred_oof,residual
block_4,D50,25,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,6.604131330264115,7.57302392148505,-0.9688925912209347
block_4,D50,28,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,8.135810517166451,7.350751179577203,0.7850593375892485
block_4,D50,29,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,11.27526744371707,9.460960710772504,1.8143067329445657
block_4,D50,34,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,7.107436165447213,7.937165192060406,-0.8297290266131929
block_4,D50,35,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,6.285404283422965,6.730418934263318,-0.44501465084035274
block_4,D50,36,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,4.769446999897783,5.582721001629967,-0.813274001732184
block_4,D50,42,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,6.960132890365449,6.3565453042489795,0.6035875861164692
block_4,D50,43,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,9.931421269345448,8.552166250716265,1.3792550186291823
block_4,D50,44,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,10.14468659774611,8.743704382557082,1.4009822151890283
block_4,D50,50,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Sableux,1,5.110945696866583,5.024697410437804,0.0862482864287788
block_4,D50,51,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,6.974423891701975,7.073766979521374,-0.09934308781939905
block_4,D50,52,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,9.027385054057266,8.783579118420606,0.24380593563665975
block_4,D50,53,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,8.719319022945967,7.86242256782675,0.8568964551192177
block_4,D50,55,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20002.tif,Granuleux,1,7.027782805429865,7.388787616439435,-0.36100481100957005
block_4,D50,61,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,7.078056642873594,6.776402969348605,0.3016536735249886
block_4,D50,62,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,4.244996859014629,4.8594696482279645,-0.6144727892133357
block_4,D50,63,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,4.889013327360287,4.33196003549033,0.5570532918699564
block_4,D50,71,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,5.688731144631764,6.571746780511901,-0.8830156358801373
block_4,D50,72,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,6.594350803265736,7.285081790059258,-0.6907309867935219
block_4,D50,83,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,6.943088552915767,6.960005771266003,-0.016917218350235963
block_4,D50,84,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,5.42259471245571,6.5541910323203325,-1.1315963198646228
block_4,D50,85,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,4.011577736228967,7.168664306194941,-3.1570865699659745
block_4,D50,94,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,4.476416786226686,5.0280365517443,-0.5516197655176143
block_4,D50,95,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,6.13404652498564,6.4279421970728885,-0.2938956720872481
block_4,D50,96,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,4.466123778501628,6.348548398001899,-1.882424619500271
block_4,D50,97,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,7.229939179909751,7.759426107395796,-0.5294869274860448
block_4,D50,98,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,Sableux,3,5.9883958173935214,7.117614077550805,-1.129218260157284
block_4,D50,184,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20033.tif,Granuleux,4,7.166243654822336,7.97504844621564,-0.8088047913933041
block_4,D50,185,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20033.tif,Granuleux,4,7.444074654137301,7.279048557518934,0.16502609661836765
block_4,D50,186,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20033.tif,Granuleux,4,10.082134570765662,8.932915669089127,1.1492189016765355
block_4,D50,193,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20033.tif,Granuleux,4,10.705632491562898,8.393333264470764,2.3122992270921348
block_4,D50,194,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20033.tif,Granuleux,4,6.545438596491228,7.673313230312624,-1.1278746338213965
block_4,D50,205,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20033.tif,Granuleux,4,10.103106588109265,9.072225859481595,1.03088072862767
block_4,D50,206,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20033.tif,Granuleux,4,10.591814573504085,9.537178652220016,1.0546359212840688
block_4,D50,222,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20033.tif,Granuleux,4,8.815330452872455,8.648313092123018,0.16701736074943696
block_4,D50,227,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20033.tif,Granuleux,4,5.462126783350492,6.6294413494047095,-1.167314566054218
block_4,D50,303,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20047.tif,Sableux,0,6.108654926938929,5.693439825544484,0.41521510139444473
