block,metric,n,mean,std,skewness,min,max,q05,q95
block_4,D50,678,-0.019902649418268383,1.0133445937456096,0.7130699438598088,-3.1570865699659745,5.550977329564203,-1.5223360522603486,1.723327019421911
block_4,D90,678,-0.0011546051534429209,1.2206578343175465,-0.3956911007888998,-4.78249090833817,3.440610940903408,-2.085743163103473,1.8420264759126634
block_4,Span,678,-0.004111557661714209,0.32008480474899625,0.08981620369616129,-1.3468180519841486,1.4320268073585067,-0.5066814368072138,0.5097512767514423
block_4,Skewness,678,-0.0010640713062550543,0.1516845007671197,-0.13647008547939568,-0.6052631230741435,0.4743952303960547,-0.24428539342747937,0.2390580188748049
block_4,sigma_local,678,-0.06276303684276473,2.6388403236687585,0.5297269146440585,-7.677250482586043,11.506566031735701,-3.949600204718148,4.596364477529235
block_6,D50,678,-0.010514729580843285,1.0325393431451462,0.7558866119050717,-2.6704621849106562,6.205886676218091,-1.479727133754144,1.7620386022452812
block_6,D90,678,0.0027715144279355486,1.2326347980690238,-0.483979591699807,-5.014206262153502,3.2994109096423223,-2.171305302334755,1.7872171659350538
block_6,Span,678,0.0016193877862502926,0.33484274606769915,0.07206105605778616,-1.3596183711838437,1.5089677917222541,-0.5414044150755322,0.5295376606871103
block_6,Skewness,678,-0.0004716680701274194,0.15611058456508323,-0.16377050306903682,-0.6762214780192178,0.48528243419302164,-0.2551805450540321,0.26108940491523275
block_6,sigma_local,678,0.029480878747549174,2.559026045100803,0.5711492350583679,-8.108386467527717,12.152462871838864,-3.7869065659549834,4.322135908012619
block_9,D50,678,-0.060557123873142105,1.1734810225427164,0.6143681046334883,-2.8290275806690124,6.032254629243191,-1.8523794825365625,1.9752650813838075
block_9,D90,678,-0.003624772458992954,1.288296761371767,-0.507219029336636,-5.046438376783689,3.3790982163734213,-2.373150912644777,1.863279737191679
block_9,Span,678,0.014377085799278558,0.37732344896164605,0.09874594422948067,-1.5693596642374248,1.5051864799671035,-0.5970612016653506,0.6499158175140763
block_9,Skewness,678,0.007443942103038592,0.17501942527872635,-0.057164813497016485,-0.643152360550863,0.5356283424949801,-0.27803164537429725,0.2992670817589735
block_9,sigma_local,678,0.12258844854705224,3.007816072278709,1.1116093666316569,-8.618976215265011,17.66451711676244,-4.072753223040107,5.07085520245636
