block,metric,patch_uid,texture,image,y_true,y_pred_oof,residual
block_4,D50,3344,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,14.864362454057114,9.31338512449291,5.550977329564203
block_4,D50,3288,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,13.515926540776093,9.562038020944492,3.953888519831601
block_4,D50,3308,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,10.500770284149262,6.6539005752925755,3.846869708856686
block_4,D50,1748,Granuleux,060722-Nabila-JP-Valves-WholeMount-SAureus-pat04-1-37.tif,14.097640955364136,10.409845854125013,3.6877951012391232
block_4,D50,1925,Granuleux,070525-JPB-MEB-EIHNValves-Ech4-ZigZag0019.tif,10.746391375845056,7.171950142942385,3.5744412329026707
block_4,D90,2794,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,14.925076562781475,19.707567471119646,-4.78249090833817
block_4,D90,2852,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,14.799490968801312,19.04946013453502,-4.2499691657337095
block_4,D90,2749,Granuleux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0014.tif,16.106794362125047,20.21382253650266,-4.107028174377614
block_4,D90,2813,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,15.580333670374133,19.327589109653836,-3.7472554392797033
block_4,D90,403,Granuleux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,15.740712110564536,19.247762637343584,-3.5070505267790484
block_4,Span,378,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,4.7789357892713,3.346908981912793,1.4320268073585067
block_4,Span,1347,Sableux,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0053.tif,1.786642849150122,3.1334609011342707,-1.3468180519841486
block_4,Span,96,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,4.5179505932256845,3.380151414381488,1.1377991788441966
block_4,Span,1800,Granuleux,060722-Nabila-JP-Valves-WholeMount-SAureus-pat04-2-15.tif,3.961379456813318,2.9351651017629177,1.0262143550504002
block_4,Span,85,Sableux,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20005.tif,4.226685091653777,3.2343302265171436,0.9923548651366332
block_4,Skewness,3344,Granuleux,070722-Nabila-JP-Valves-WholeMount-SAureus-pat08-20.tif,-0.2380796260932743,0.3671834969808693,-0.6052631230741435
block_4,Skewness,1347,Sableux,060525-JPB-MEB-EIHNValves-Ech3-ZigZag0053.tif,0.1525603029181785,0.7034531008255416,-0.5508927979073631
block_4,Skewness,2840,Sableux,070525-JPB-MEB-EIHNValves-Ech6-ZigZag0034.tif,0.4063880905820762,0.8876145839446221,-0.4812264933625459
