block,metric_i,metric_j,cos_signed,corr_signed,abs_cos,abs_corr,gap,type
block_4,D50,D90,0.5086522362904333,0.6566417393225231,0.5086522362904333,0.6566417393225231,-0.1479895030320898,coherent
block_4,D50,Span,-0.8054781510978514,-0.9460225409196071,0.8054781510978514,0.9460225409196071,-0.14054438982175577,coherent
block_4,D50,Skewness,-0.8923821771612286,-0.9660179954586775,0.8923821771612286,0.9660179954586775,-0.07363581829744892,coherent
block_4,D50,sigma_local,-0.20436901487307663,0.5587189011970799,0.20436901487307663,0.5587189011970799,-0.35434988632400327,correlees_mais_divergentes
block_4,D90,Span,-0.4043573723654747,-0.48613234014158596,0.4043573723654747,0.48613234014158596,-0.08177496777611126,coherent
block_4,D90,Skewness,-0.6888058258178014,-0.7143993614221493,0.6888058258178014,0.7143993614221493,-0.02559353560434796,coherent
block_4,D90,sigma_local,-0.06385413730508901,0.38507985367067865,0.06385413730508901,0.38507985367067865,-0.3212257163655896,correlees_mais_divergentes
block_4,Span,Skewness,0.8492369969111684,0.9161503288013173,0.8492369969111684,0.9161503288013173,-0.06691333189014892,coherent
block_4,Span,sigma_local,0.17509378389406505,-0.5281307945639121,0.17509378389406505,0.5281307945639121,-0.35303701066984705,correlees_mais_divergentes
block_4,Skewness,sigma_local,0.18315248435569337,-0.5288781032352395,0.18315248435569337,0.5288781032352395,-0.34572561887954617,correlees_mais_divergentes
block_6,D50,D90,0.6326988972449339,0.6566417393225231,0.6326988972449339,0.6566417393225231,-0.023942842077589233,coherent
block_6,D50,Span,-0.8548538807277715,-0.9460225409196071,0.8548538807277715,0.9460225409196071,-0.09116866019183567,coherent
block_6,D50,Skewness,-0.9400705381886945,-0.9660179954586775,0.9400705381886945,0.9660179954586775,-0.025947457269983043,coherent
block_6,D50,sigma_local,-0.11697907195421212,0.5587189011970799,0.11697907195421212,0.5587189011970799,-0.4417398292428678,correlees_mais_divergentes
block_6,D90,Span,-0.3949077872721233,-0.48613234014158596,0.3949077872721233,0.48613234014158596,-0.09122455286946268,coherent
block_6,D90,Skewness,-0.7207156438124754,-0.7143993614221493,0.7207156438124754,0.7143993614221493,0.006316282390326111,coherent
block_6,D90,sigma_local,-0.033098901637092816,0.38507985367067865,0.033098901637092816,0.38507985367067865,-0.3519809520335858,correlees_mais_divergentes
block_6,Span,Skewness,0.8298841907200645,0.9161503288013173,0.8298841907200645,0.9161503288013173,-0.08626613808125283,coherent
block_6,Span,sigma_local,0.09402525477474148,-0.5281307945639121,0.09402525477474148,0.5281307945639121,-0.4341055397891706,correlees_mais_divergentes
block_6,Skewness,sigma_local,0.10023878976722793,-0.5288781032352395,0.10023878976722793,0.5288781032352395,-0.4286393134680116,correlees_mais_divergentes
block_9,D50,D90,0.5879109632340738,0.6566417393225231,0.5879109632340738,0.6566417393225231,-0.06873077608844935,coherent
block_9,D50,Span,-0.8659993429411185,-0.9460225409196071,0.8659993429411185,0.9460225409196071,-0.08002319797848867,coherent
block_9,D50,Skewness,-0.9382814262656316,-0.9660179954586775,0.9382814262656316,0.9660179954586775,-0.0277365691930459,coherent
block_9,D50,sigma_local,0.01473907114095294,0.5587189011970799,0.01473907114095294,0.5587189011970799,-0.5439798300561269,correlees_mais_divergentes
block_9,D90,Span,-0.41982151421938363,-0.48613234014158596,0.41982151421938363,0.48613234014158596,-0.06631082592220233,coherent
block_9,D90,Skewness,-0.6464173901615735,-0.7143993614221493,0.6464173901615735,0.7143993614221493,-0.06798197126057581,coherent
block_9,D90,sigma_local,0.12552101311888061,0.38507985367067865,0.12552101311888061,0.38507985367067865,-0.259558840551798,coherent
block_9,Span,Skewness,0.8336387109341254,0.9161503288013173,0.8336387109341254,0.9161503288013173,-0.08251161786719186,coherent
block_9,Span,sigma_local,0.010644009563420834,-0.5281307945639121,0.010644009563420834,0.5281307945639121,-0.5174867850004913,correlees_mais_divergentes
block_9,Skewness,sigma_local,-0.018867304344978325,-0.5288781032352395,0.018867304344978325,0.5288781032352395,-0.5100107988902612,correlees_mais_divergentes
