block,metric,R2_mean,R2_std
block_4,D50,0.7481240630774781,0.07574721661708451
block_4,D90,0.32641970526195524,0.11349950437305537
block_4,Skewness,0.675639759178711,0.06250967455059603
block_4,Span,0.7583376418392631,0.06954138607608115
block_4,sigma_local,0.7585970056430531,0.12996814813541804
block_6,D50,0.739561674766211,0.0917807090576347
block_6,D90,0.3175253462966299,0.10530566680837887
block_6,Skewness,0.654412339057424,0.08405922242740722
block_6,Span,0.7336818757525352,0.0787639354708172
block_6,sigma_local,0.7814322341539103,0.10514186010411126
block_9,D50,0.6668509993398383,0.09824652609131919
block_9,D90,0.2581182948003513,0.09929273910482103
block_9,Skewness,0.5695756740294575,0.10875082396164848
block_9,Span,0.6713986058408888,0.06137140117401021
block_9,sigma_local,0.7334870067173879,0.0793143279575844
