block,metric,cos_moyen_entre_folds,cos_min_entre_folds,cos_max_entre_folds
block_4,D50,0.8371550012688781,0.7981056436500742,0.87716589945924
block_4,D90,0.8727571425701562,0.8300264627643194,0.8990191672641273
block_4,Span,0.831712594277817,0.7958817307597057,0.8665448969877585
block_4,Skewness,0.8835387269555944,0.8705056561154861,0.9068824077401263
block_4,sigma_local,0.8490599421305367,0.7975313393345977,0.8919392531582839
block_6,D50,0.8764517765977855,0.8369400700595651,0.9030861797475227
block_6,D90,0.8562713523649913,0.8149281004012459,0.9159184553639165
block_6,Span,0.8704499791120354,0.8429122262525739,0.8966846934984795
block_6,Skewness,0.8611355527319431,0.8463851608088999,0.8680726673183822
block_6,sigma_local,0.8246310817580659,0.7450389720917417,0.8891841339769477
block_9,D50,0.8372723842363528,0.7831575416998097,0.879629892978641
block_9,D90,0.8514313534163775,0.7810604155585361,0.9218131690126989
block_9,Span,0.8233854899295899,0.7907838128627036,0.8667998809744503
block_9,Skewness,0.811530946572425,0.7760348051305932,0.8471788393293669
block_9,sigma_local,0.8389282174646157,0.6883254968541044,0.9325202842121224
