fold,level,metric,r2,rmse,medae,n_components
0,50%,D50,0.31866960330309435,1.6556870607460221,0.84292622907273,5
0,50%,D90,-0.11703184025441726,1.3168679578778715,0.9450706424395054,5
0,50%,Span,0.4776722865183586,0.3874931082071983,0.25270260769981,5
0,50%,Skewness,0.16706961907828477,0.21108107022252912,0.13391944060061073,5
0,50%,sigma_local,0.19698041869081695,6.526380092466049,3.6436369683676975,5
0,75%,D50,0.447397957535276,1.4910960344921278,0.8286074601549345,10
0,75%,D90,0.01390896103396344,1.2372799073890068,0.9052427184158542,10
0,75%,Span,0.5600987746625562,0.35560678114118105,0.22179441602625283,10
0,75%,Skewness,0.34239000485519056,0.18755521256934465,0.1205556019926605,10
0,75%,sigma_local,0.2572261773400836,6.276789876056141,3.546629099639335,10
0,95%,D50,0.6194450542659409,1.2373941473693175,0.800968903887922,35
0,95%,D90,0.2121322962346528,1.1059515544162617,0.7981176766790536,35
0,95%,Span,0.6720666649951218,0.307033123685533,0.19893989265883294,35
0,95%,Skewness,0.5557375146260187,0.15415753484398642,0.09764364958006352,35
0,95%,sigma_local,0.6589532024313047,4.2532046832949,2.252320005187281,35
0,brut (100%),D50,0.6345617430430739,1.2125687673015617,0.6708869348000484,384
0,brut (100%),D90,0.2162007711124283,1.1030923434498674,0.7930967005113541,384
0,brut (100%),Span,0.7043811497122405,0.291513391419018,0.1830608342609299,384
0,brut (100%),Skewness,0.5787692670154156,0.15010838787968683,0.09386868252268743,384
0,brut (100%),sigma_local,0.8114495008596867,3.162446147107804,1.4731967044461207,384
1,50%,D50,0.5457839762543659,1.4828501804994816,0.9366344198469361,5
1,50%,D90,0.024067010703155534,1.582842224553362,1.0279267745590648,5
1,50%,Span,0.572035401297116,0.5197350395249984,0.3112231592032799,5
1,50%,Skewness,0.3965719536540985,0.23300723784607966,0.13572748184524103,5
1,50%,sigma_local,0.27705675364286275,4.044247454176977,3.053557577919219,5
1,75%,D50,0.6978851894956561,1.2093501334911745,0.8193193078591783,10
1,75%,D90,0.1489037323742497,1.4781447691461005,0.9689424565743305,10
1,75%,Span,0.7032542569201103,0.4327831295717558,0.28710998226531537,10
1,75%,Skewness,0.5594497268785461,0.19909227223912174,0.13502791557497024,10
1,75%,sigma_local,0.056954014920560736,4.619043513581134,3.043078851663707,10
1,95%,D50,0.7978450137950917,0.9892550540220664,0.5944168911171837,35
1,95%,D90,0.23543442872186737,1.4009898751336793,1.0046470828602683,35
1,95%,Span,0.8284946101422015,0.3290159565836264,0.2199798349423454,35
1,95%,Skewness,0.6732631459395595,0.17145720009997703,0.1077439657383539,35
1,95%,sigma_local,0.5581972171231391,3.161548451480179,2.0063014306619644,35
1,brut (100%),D50,0.8478953353982177,0.8580988406666965,0.5709123732327326,384
1,brut (100%),D90,0.2528519105452568,1.384940045231268,0.9364628587898025,384
1,brut (100%),Span,0.86334597164308,0.2936900908378798,0.19114483377772862,384
1,brut (100%),Skewness,0.7353325941934515,0.15431455688513568,0.10301483921199084,384
1,brut (100%),sigma_local,0.689520385237877,2.650343494201261,1.7452518464193467,384
2,50%,D50,0.4090848048977622,1.4542195316074629,0.9358286853803754,5
2,50%,D90,0.17459564926116744,1.5368848770665773,0.9809151582185898,5
2,50%,Span,0.42746838394643616,0.525505420045171,0.3954400301536296,5
2,50%,Skewness,0.33665420036304006,0.2305957296019023,0.16035375832068144,5
2,50%,sigma_local,-0.11166562661334822,3.642464361673443,2.306848447210946,5
2,75%,D50,0.5729608977288395,1.2362355155334155,0.7738472877303408,10
2,75%,D90,0.30570264013142245,1.4095507506891567,0.7866729431771766,10
2,75%,Span,0.5614988745623314,0.4598993744217581,0.3634873464603796,10
2,75%,Skewness,0.5246799408777898,0.1951975398709524,0.1342274931538665,10
2,75%,sigma_local,0.0014287000666624028,3.45221442216306,2.171286264457027,10
2,95%,D50,0.7212115332585275,0.9988604008142498,0.5934045779293919,35
2,95%,D90,0.4219363853505754,1.2861623059734075,0.788293100946948,35
2,95%,Span,0.6984226467021246,0.3813966072081934,0.26017778664802416,35
2,95%,Skewness,0.6711925692225724,0.16234992055161615,0.11633561055864672,35
2,95%,sigma_local,0.20540835091265752,3.079500088341757,2.2632880842411307,35
2,brut (100%),D50,0.7505912789326481,0.9447637300357876,0.6082070091425784,384
2,brut (100%),D90,0.45578779623730004,1.2479353829480686,0.7516536482099028,384
2,brut (100%),Span,0.7501289617650373,0.3471645912867588,0.28097353793140867,384
2,brut (100%),Skewness,0.715090836015571,0.15112436108166674,0.11301625541799054,384
2,brut (100%),sigma_local,0.5650862339401299,2.2782941752685466,1.6768955763323294,384
3,50%,D50,0.5372106068362462,1.4284858426263602,0.9442253112295251,5
3,50%,D90,0.15284722374337223,1.231262694062453,0.8727706182465855,5
3,50%,Span,0.5368027218112716,0.45462897682915526,0.3242160810898591,5
3,50%,Skewness,0.4026916392098413,0.20141585941563406,0.1385199532132478,5
3,50%,sigma_local,0.5712939537247745,4.545303980548023,3.135508616677507,5
3,75%,D50,0.6076652048896152,1.3152631584346985,0.9159142155580131,10
3,75%,D90,0.13821899179530905,1.2418476255644864,0.8755593304256113,10
3,75%,Span,0.6410270107315126,0.40022572446987037,0.23827478117692114,10
3,75%,Skewness,0.4835923030550294,0.187279706560992,0.12429953035497354,10
3,75%,sigma_local,0.6113144857861789,4.327950715536012,2.77364988844646,10
3,95%,D50,0.6681688646450454,1.2096028703405417,0.8346722542790328,35
3,95%,D90,0.273721557945264,1.140043514865481,0.6713906986280431,35
3,95%,Span,0.7004601243910191,0.3655960006352557,0.2288951787696225,35
3,95%,Skewness,0.5996166014667392,0.16490445846556848,0.10730315373541363,35
3,95%,sigma_local,0.7680699199424471,3.3431946863750754,2.0373273035681936,35
3,brut (100%),D50,0.7576365796605675,1.0337553701630129,0.7196069198327804,384
3,brut (100%),D90,0.26488411148101354,1.1469586381316903,0.6655998818702642,384
3,brut (100%),Span,0.7839310321087407,0.3105062257663593,0.1701285600539162,384
3,brut (100%),Skewness,0.6507992609927951,0.15400397973675292,0.09259996280909888,384
3,brut (100%),sigma_local,0.880214530650955,2.4026206109845027,1.4170996834964473,384
4,50%,D50,0.36000597171527937,1.573166370508613,1.1208723644823522,5
4,50%,D90,0.0920395160437879,1.5325425156754906,1.139979106713529,5
4,50%,Span,0.4170954088123606,0.483723306353389,0.2678099417548969,5
4,50%,Skewness,0.2811459213594175,0.22963136000651974,0.16686295046567845,5
4,50%,sigma_local,0.343475445959629,5.410364348029556,3.8130866038729803,5
4,75%,D50,0.5899063754393139,1.25929709629052,0.8334295581859212,10
4,75%,D90,0.2811477504985681,1.3636373113982754,0.946794568036367,10
4,75%,Span,0.5969529028086225,0.4022315879681787,0.2666252998250158,10
4,75%,Skewness,0.5177827026584019,0.1880754976715014,0.12475278705730308,10
4,75%,sigma_local,0.42851407441348843,5.047819250244348,3.0478908256330293,10
4,95%,D50,0.7097759014214474,1.0593840467400417,0.7061690158177969,35
4,95%,D90,0.43602438758891415,1.2078394769012097,0.874204741814534,35
4,95%,Span,0.6507229708490936,0.3744409055758385,0.23588393896838422,35
4,95%,Skewness,0.6782009339939505,0.15363961740043064,0.10462421451321474,35
4,95%,sigma_local,0.7397795680040257,3.4062123770178743,1.8158435888578328,35
4,brut (100%),D50,0.7499353783528833,0.9833606368936001,0.5620810698979355,384
4,brut (100%),D90,0.4423739369337776,1.2010209685364837,0.853592668683401,384
4,brut (100%),Span,0.6899010939672169,0.3528160973753955,0.24134534761373905,384
4,brut (100%),Skewness,0.6982068376763216,0.14878718435543228,0.0969442378200075,384
4,brut (100%),sigma_local,0.8467143775266167,2.6142778113319514,1.5498079106495428,384
